GCA_022453515.1	Astrocystis sublimbata
GCA_021030915.1	Astrothelium macrocarpum
GCA_021030935.1	Astrothelium subdiscretum
GCA_001630335.1	Athelia psychrophila
GCA_000729835.1	Atkinsonella hypoxylon
GCA_001008035.1	Atkinsonella texensis
GCA_021432655.1	Atractiella rhizophila
GCA_045526815.1	Atractium crassum
GCA_045526835.1	Atractium stilbaster
GCA_010015705.1	Aulographum hederae CBS 113979
GCA_015251385.1	Aureobasidium aubasidani
GCA_019775405.1	Aureobasidium leucospermi
GCA_022813425.1	Aureobasidium lini
GCA_021014315.1	Aureobasidium mangrovei
GCF_000721775.1	Aureobasidium melanogenum CBS 110374
GCA_903819665.1	Aureobasidium mustum
GCF_000721765.1	Aureobasidium namibiae CBS 147.97
GCF_000721785.1	Aureobasidium pullulans EXF-150
GCF_000721755.1	Aureobasidium subglaciale EXF-2481
GCA_042608425.1	Aureobasidium tremulum
GCA_903853725.1	Aureobasidium uvarum
GCA_903819635.1	Aureobasidium vineae
GCA_048593495.1	Aureobasidium zeae
GCA_038089615.1	Aureoboletus auriporus
GCA_965113095.1	Aureoboletus gentilis
GCA_002092955.1	Auricularia auricula-judae
GCA_030578095.1	Auricularia cornea
GCA_050574865.1	Auricularia heimuer
GCA_003316125.1	Auricularia polytricha
GCA_027559495.1	Aurifilum marmelostoma
GCA_019914985.1	Auriscalpium microsporum
GCA_019915035.1	Auriscalpium orientale
GCA_019915015.1	Auriscalpium vulgare
GCA_038089855.1	Australopilus palumanus
GCA_030563705.1	Australozyma bambusicola
GCA_030563825.1	Australozyma nongkhaiensis
GCA_030582875.1	Australozyma picinguabensis
GCA_030568975.1	Australozyma robnettiae
GCA_030569455.1	Australozyma saccharicola
GCF_035610405.1	Australozyma saopauloensis
GCA_030563905.1	Australozyma succicola
GCA_030566735.1	Australozyma touchengensis
GCA_038090175.1	Austroboletus eburneus
GCA_038088875.1	Austroboletus festivus
GCA_038090255.1	Austroboletus niveus
GCA_038090275.1	Austroboletus novae-zelandiae
GCA_038093615.1	Austroboletus olivaceoglutinosus
GCA_038089255.1	Austroboletus rostrupii
GCA_023105745.1	Austropuccinia psidii
